Applicant_Income,Coapplicant_Income,Marital_Status,Loan_Amount,Property_Area,Education_Level,Gender,Loan_Approved,Credit_History
14206.0,2681.0,Yes,34529.0,Semiurban,Not Graduate,Female,N,1.0
,3629.0,Yes,13941.0,Urban,Graduate,Male,Y,1.0
16541.0,4225.0,Yes,2669.0,,Not Graduate,,N,1.0
5152.0,3067.0,No,21246.0,Urban,Graduate,Female,N,0.0
3585.0,5941.0,No,21323.0,Rural,Graduate,Male,N,0.0
5943.0,1386.0,Yes,34894.0,Urban,Graduate,Female,N,0.0
3021.0,2866.0,No,7021.0,Urban,Graduate,Male,N,0.0
13653.0,4788.0,Yes,37903.0,Rural,Graduate,Male,N,0.0
12805.0,5490.0,Yes,9711.0,Urban,Graduate,Male,N,0.0
15417.0,4124.0,Yes,8904.0,Rural,Graduate,Female,Y,1.0
9989.0,8340.0,Yes,36051.0,Urban,Graduate,Female,N,1.0
11692.0,3850.0,Yes,21942.0,Urban,Graduate,Female,Y,1.0
14990.0,5415.0,No,25251.0,Rural,Not Graduate,Female,N,0.0
,7679.0,No,26058.0,Rural,Graduate,Male,Y,1.0
7675.0,6819.0,Yes,36245.0,Urban,Graduate,Male,N,1.0
2161.0,9328.0,Yes,4093.0,Urban,Graduate,Female,N,0.0
6297.0,8378.0,Yes,25918.0,Urban,Graduate,Male,N,1.0
2995.0,9442.0,Yes,8207.0,Urban,Not Graduate,Female,N,0.0
13534.0,1333.0,Yes,,Urban,Graduate,Male,N,0.0
9629.0,4150.0,Yes,27974.0,Urban,Not Graduate,Male,N,1.0
3016.0,6766.0,No,29172.0,Rural,Graduate,Male,N,1.0
10529.0,2711.0,Yes,33283.0,Rural,,Female,N,1.0
19262.0,4853.0,Yes,39995.0,Urban,Graduate,Female,N,0.0
11268.0,6212.0,Yes,14280.0,,Not Graduate,Male,Y,1.0
14185.0,7479.0,Yes,37303.0,Urban,Not Graduate,Male,Y,1.0
8331.0,5408.0,Yes,28453.0,,Graduate,Male,Y,1.0
10571.0,9977.0,No,3913.0,Semiurban,Not Graduate,Male,N,0.0
9208.0,7715.0,Yes,26765.0,Rural,Graduate,Female,Y,1.0
7276.0,8942.0,No,3340.0,Rural,Not Graduate,Male,N,0.0
18448.0,1762.0,Yes,27179.0,Semiurban,Graduate,Male,Y,1.0
18216.0,7101.0,Yes,28873.0,Urban,Graduate,Male,N,0.0
10006.0,7674.0,Yes,39057.0,,Graduate,Male,Y,1.0
4568.0,6122.0,No,1597.0,Rural,Not Graduate,Female,N,1.0
4027.0,481.0,Yes,30119.0,Urban,Not Graduate,Male,N,1.0
4695.0,153.0,No,16025.0,Rural,Not Graduate,Male,N,0.0
17422.0,7617.0,Yes,8145.0,Rural,Not Graduate,Female,N,0.0
7258.0,1524.0,No,36670.0,Rural,Graduate,Male,N,0.0
8736.0,2120.0,Yes,8694.0,Urban,,Female,Y,1.0
,2343.0,No,5830.0,Rural,Not Graduate,Male,N,1.0
15986.0,5136.0,Yes,24930.0,Rural,Graduate,Male,N,0.0
14666.0,5760.0,No,24752.0,Semiurban,Graduate,Male,N,1.0
7892.0,1240.0,Yes,11489.0,Rural,Graduate,Male,N,0.0
5561.0,60.0,Yes,33692.0,Semiurban,Not Graduate,Male,N,0.0
8184.0,9130.0,Yes,16768.0,Urban,Not Graduate,Male,N,0.0
10392.0,1639.0,No,3160.0,Urban,Not Graduate,Male,Y,1.0
15067.0,6185.0,Yes,21133.0,Urban,Not Graduate,Male,N,1.0
17265.0,7970.0,No,36690.0,Urban,Not Graduate,Female,Y,0.0
4454.0,,Yes,23870.0,Semiurban,Not Graduate,Female,N,1.0
13837.0,4203.0,Yes,25496.0,Semiurban,Not Graduate,Male,Y,1.0
16039.0,8363.0,Yes,37572.0,Urban,,Male,Y,0.0
12965.0,9650.0,No,3368.0,Urban,Graduate,Female,Y,1.0
11762.0,3549.0,No,37700.0,Urban,Graduate,Female,N,1.0
7056.0,4197.0,No,30203.0,Semiurban,Not Graduate,Male,N,0.0
16948.0,7009.0,Yes,12552.0,Urban,Graduate,,N,0.0
10110.0,6667.0,No,6608.0,Urban,Graduate,Male,N,1.0
15773.0,2322.0,No,23485.0,Urban,Graduate,Male,N,1.0
,,Yes,10862.0,Urban,Graduate,Female,N,0.0
2502.0,4090.0,No,39299.0,Semiurban,Graduate,,N,1.0
14685.0,3004.0,No,22354.0,Urban,Graduate,Male,N,1.0
2206.0,5136.0,No,7344.0,Urban,Graduate,Male,N,0.0
19868.0,329.0,Yes,18993.0,Urban,Graduate,Female,Y,1.0
17934.0,3640.0,Yes,29682.0,Rural,Graduate,Male,N,0.0
19247.0,7982.0,No,29415.0,Urban,Graduate,Male,N,1.0
10755.0,4107.0,Yes,20323.0,Urban,Graduate,,N,0.0
14383.0,1341.0,No,18997.0,Semiurban,Graduate,Male,Y,0.0
16820.0,8407.0,No,4679.0,Urban,Graduate,Male,N,0.0
9574.0,338.0,No,30489.0,Rural,Not Graduate,Male,Y,1.0
8374.0,5895.0,No,10488.0,Urban,Graduate,Female,N,1.0
3678.0,2708.0,Yes,4996.0,Urban,Graduate,Female,Y,1.0
3059.0,1750.0,Yes,6695.0,Rural,Graduate,Male,N,1.0
18198.0,5604.0,Yes,31204.0,Semiurban,Graduate,Female,N,0.0
11914.0,2421.0,Yes,,Rural,Graduate,Male,Y,1.0
12817.0,7119.0,Yes,15235.0,Urban,Graduate,Male,N,1.0
12921.0,8901.0,Yes,3366.0,Urban,Graduate,Female,Y,1.0
11789.0,5319.0,No,28467.0,Urban,Graduate,Male,N,1.0
18312.0,6609.0,No,7764.0,Rural,Graduate,Male,Y,1.0
13252.0,5387.0,,,Rural,,Female,N,1.0
4693.0,3993.0,Yes,32923.0,Urban,Graduate,Female,N,0.0
15931.0,8680.0,No,31175.0,Rural,Not Graduate,Male,Y,1.0
18157.0,8238.0,Yes,2614.0,Urban,Graduate,Male,Y,1.0
12173.0,4873.0,Yes,21939.0,,Graduate,Male,N,0.0
12230.0,4806.0,Yes,,Urban,Not Graduate,Male,N,1.0
17707.0,8592.0,Yes,24246.0,Urban,Graduate,Male,Y,1.0
13494.0,5913.0,No,32688.0,Semiurban,Graduate,Female,N,0.0
3306.0,7124.0,Yes,28962.0,Urban,Graduate,Male,N,0.0
8776.0,3157.0,Yes,30764.0,Urban,Graduate,Male,N,0.0
11474.0,390.0,Yes,33470.0,Rural,Not Graduate,Male,N,1.0
9526.0,,Yes,39501.0,Semiurban,Graduate,Male,N,0.0
7530.0,8820.0,No,,Semiurban,Graduate,Female,Y,0.0
5748.0,7686.0,No,23072.0,Rural,,Male,Y,1.0
15545.0,4232.0,No,29242.0,Urban,Graduate,Female,N,0.0
2663.0,8007.0,Yes,38132.0,Semiurban,Graduate,Female,N,1.0
3998.0,1521.0,No,18861.0,Rural,Graduate,Female,N,0.0
9994.0,9018.0,No,5960.0,Urban,Graduate,Male,N,0.0
19879.0,1500.0,No,19781.0,Semiurban,Not Graduate,Female,Y,1.0
5304.0,6737.0,Yes,32126.0,Urban,Graduate,Male,N,0.0
15808.0,3294.0,Yes,23578.0,Urban,Not Graduate,Male,Y,1.0
8585.0,,Yes,18883.0,Semiurban,Graduate,Male,N,0.0
19675.0,2419.0,No,30782.0,Rural,Graduate,Male,N,0.0
13649.0,9126.0,Yes,17979.0,Urban,Graduate,Male,N,0.0
3636.0,3042.0,Yes,34746.0,Urban,Not Graduate,Male,N,1.0
19082.0,4497.0,No,1730.0,Rural,Graduate,Male,Y,1.0
6737.0,1466.0,No,1056.0,Urban,Graduate,Female,N,1.0
16555.0,3561.0,No,32457.0,Urban,Graduate,Male,N,0.0
15877.0,,Yes,,Rural,Not Graduate,Male,N,0.0
2854.0,5392.0,No,2701.0,Semiurban,Graduate,Female,N,0.0
7855.0,7693.0,,,Rural,Graduate,Male,Y,1.0
9392.0,9374.0,Yes,16100.0,Rural,Graduate,Female,Y,0.0
15949.0,3223.0,Yes,1947.0,Rural,Not Graduate,Female,Y,0.0
7791.0,7138.0,Yes,21505.0,Rural,Not Graduate,Male,Y,1.0
6931.0,2667.0,Yes,7553.0,Urban,Graduate,Male,N,0.0
2202.0,7980.0,No,34525.0,,,Female,N,0.0
13447.0,130.0,Yes,15866.0,Urban,Not Graduate,Female,Y,0.0
14688.0,2983.0,No,31472.0,Urban,Not Graduate,Female,Y,0.0
6389.0,,Yes,6651.0,Urban,Graduate,Male,Y,0.0
4327.0,7126.0,Yes,8273.0,Rural,Not Graduate,Female,N,0.0
10004.0,8230.0,Yes,11033.0,Urban,Graduate,Male,N,0.0
9777.0,7694.0,Yes,4535.0,Urban,Graduate,Male,N,0.0
2197.0,6640.0,Yes,19677.0,Rural,Not Graduate,Male,N,0.0
3930.0,5468.0,Yes,18488.0,Semiurban,Graduate,Male,N,1.0
13774.0,920.0,Yes,1908.0,Rural,Not Graduate,Female,N,0.0
17087.0,7564.0,Yes,5617.0,Urban,Graduate,Female,Y,0.0
11339.0,8684.0,Yes,31431.0,Urban,Graduate,Female,N,0.0
13589.0,9323.0,No,24453.0,Rural,Not Graduate,Male,N,0.0
17708.0,8502.0,Yes,36079.0,Urban,Graduate,Male,N,0.0
19043.0,8930.0,No,17020.0,Rural,Graduate,Female,N,0.0
4811.0,3241.0,No,27562.0,Urban,Not Graduate,Male,N,1.0
16243.0,545.0,,25373.0,Semiurban,Graduate,Female,N,0.0
8546.0,4346.0,No,31164.0,Urban,Graduate,Female,N,0.0
3986.0,9996.0,Yes,2885.0,Urban,Not Graduate,Female,N,0.0
10338.0,3810.0,No,2049.0,Semiurban,Graduate,Male,Y,1.0
13411.0,7206.0,No,2161.0,Urban,Not Graduate,Female,Y,1.0
4911.0,9005.0,Yes,1815.0,Urban,Not Graduate,Female,Y,1.0
3734.0,,Yes,37534.0,Semiurban,Graduate,Male,N,1.0
10680.0,,Yes,28498.0,Urban,,Female,Y,1.0
7759.0,271.0,No,26037.0,Urban,Not Graduate,Male,N,0.0
4385.0,3511.0,No,37007.0,Urban,Graduate,Male,N,1.0
13111.0,1771.0,Yes,14942.0,Urban,Graduate,Female,N,0.0
6736.0,9454.0,Yes,28278.0,Urban,Graduate,Female,N,1.0
3802.0,4361.0,Yes,9272.0,Rural,Graduate,Female,N,0.0
10155.0,7069.0,,34637.0,Rural,Graduate,Male,N,0.0
10120.0,920.0,No,39294.0,Urban,Not Graduate,Male,Y,1.0
8616.0,8190.0,Yes,8741.0,Urban,Not Graduate,Female,N,1.0
16257.0,3430.0,Yes,5694.0,Semiurban,Graduate,Male,N,0.0
16486.0,4435.0,Yes,31306.0,Semiurban,Graduate,Male,N,0.0
18646.0,3760.0,No,2934.0,Urban,Graduate,,N,1.0
16075.0,2050.0,Yes,22556.0,Semiurban,Graduate,Male,N,0.0
18371.0,8567.0,Yes,,Urban,Not Graduate,Female,N,0.0
13835.0,2033.0,Yes,30158.0,Urban,Not Graduate,Male,N,0.0
,6467.0,Yes,21293.0,,Graduate,Male,Y,1.0
7423.0,4388.0,Yes,34387.0,Rural,Graduate,Male,N,0.0
16589.0,7832.0,No,4066.0,Rural,Graduate,Male,Y,1.0
9158.0,8623.0,No,22256.0,Urban,Graduate,,N,0.0
12248.0,8896.0,No,36105.0,Rural,Not Graduate,Female,N,1.0
9400.0,8173.0,Yes,,Rural,Not Graduate,Female,N,0.0
11874.0,2632.0,No,3460.0,Semiurban,Not Graduate,Male,N,0.0
17151.0,4494.0,Yes,7820.0,Urban,Not Graduate,Female,N,0.0
3154.0,8056.0,Yes,37210.0,Rural,Graduate,,N,1.0
6499.0,7511.0,Yes,17191.0,,Graduate,Male,Y,0.0
8295.0,9155.0,Yes,20095.0,Rural,Graduate,,Y,1.0
14183.0,1828.0,No,11529.0,Rural,Graduate,Male,N,0.0
14874.0,9130.0,Yes,33175.0,Urban,Graduate,Male,N,1.0
7539.0,4805.0,Yes,18675.0,Rural,,Female,Y,1.0
11637.0,806.0,No,6374.0,Urban,Graduate,Female,Y,1.0
17586.0,9655.0,Yes,26976.0,Semiurban,Graduate,Male,Y,0.0
4557.0,7486.0,Yes,14142.0,Urban,Graduate,Female,Y,1.0
7592.0,8202.0,Yes,13204.0,Rural,Graduate,Female,N,0.0
18482.0,1868.0,No,8394.0,Semiurban,Graduate,Male,N,0.0
4200.0,7878.0,No,34593.0,Urban,Graduate,Male,N,1.0
16172.0,5690.0,Yes,12652.0,Rural,Graduate,Female,N,1.0
4961.0,7827.0,Yes,34740.0,Urban,Not Graduate,Female,N,1.0
16207.0,,Yes,1443.0,Urban,Graduate,Female,N,0.0
13969.0,9076.0,No,24903.0,Rural,Graduate,Female,N,0.0
4869.0,3564.0,Yes,34522.0,Rural,Graduate,Male,N,1.0
19340.0,1389.0,Yes,29180.0,Semiurban,Not Graduate,Male,N,0.0
15992.0,,Yes,22119.0,Semiurban,Graduate,Male,N,0.0
7699.0,824.0,Yes,11363.0,Rural,Not Graduate,Male,N,0.0
5987.0,,,39164.0,Rural,Not Graduate,Female,N,0.0
15446.0,936.0,No,32541.0,Semiurban,Not Graduate,Female,N,0.0
3218.0,6402.0,Yes,4465.0,Urban,Graduate,Female,Y,1.0
,3845.0,Yes,3711.0,Urban,Graduate,Male,N,0.0
13296.0,1796.0,No,26198.0,Urban,Graduate,Male,Y,1.0
6555.0,,No,23488.0,Semiurban,Graduate,Male,N,0.0
11146.0,7214.0,Yes,39515.0,Rural,Graduate,Male,N,1.0
10050.0,726.0,Yes,24608.0,Rural,Not Graduate,Female,N,0.0
14757.0,2736.0,Yes,28898.0,Urban,Not Graduate,Male,N,0.0
19429.0,1913.0,No,2919.0,Semiurban,Graduate,Female,N,0.0
8893.0,9788.0,Yes,32171.0,Urban,Graduate,Female,N,0.0
16373.0,7657.0,No,21599.0,Rural,Not Graduate,,N,1.0
16565.0,2466.0,No,17965.0,Urban,Graduate,Male,N,1.0
5436.0,9041.0,Yes,15434.0,Urban,Graduate,Female,N,1.0
10754.0,7312.0,Yes,37649.0,Rural,Graduate,,N,1.0
12677.0,8194.0,Yes,2999.0,Semiurban,Not Graduate,Female,Y,1.0
7895.0,7906.0,,15849.0,Urban,Graduate,Male,N,0.0
18609.0,4876.0,Yes,11903.0,Urban,Not Graduate,Male,N,0.0
17636.0,7287.0,No,6445.0,Urban,Graduate,Male,Y,1.0
,892.0,No,36396.0,Urban,Graduate,Male,N,0.0
11151.0,,Yes,19040.0,Urban,Graduate,Female,Y,1.0
7600.0,1933.0,No,1246.0,Rural,Graduate,Male,Y,1.0
9996.0,1380.0,Yes,32153.0,Semiurban,Graduate,Female,Y,1.0
11007.0,1290.0,Yes,6212.0,Urban,Graduate,Female,Y,1.0
14946.0,1640.0,Yes,4339.0,Rural,Not Graduate,Female,N,0.0
6642.0,7490.0,No,24142.0,Urban,Graduate,Male,Y,1.0
13312.0,9179.0,No,20394.0,Urban,Not Graduate,Female,N,0.0
9679.0,1218.0,No,36136.0,Urban,Not Graduate,,Y,1.0
10208.0,5016.0,Yes,13186.0,Rural,Not Graduate,Male,N,1.0
12716.0,6881.0,Yes,,Urban,Not Graduate,Female,N,1.0
19453.0,9547.0,Yes,39973.0,Urban,,Male,N,0.0
5444.0,9752.0,Yes,5395.0,Urban,Graduate,Female,Y,0.0
12757.0,9610.0,No,16290.0,Urban,Not Graduate,Male,N,1.0
16434.0,954.0,No,23151.0,,Not Graduate,Female,Y,1.0
3060.0,9175.0,No,4691.0,Semiurban,Not Graduate,Male,Y,1.0
5420.0,7291.0,Yes,8470.0,Rural,Graduate,Female,Y,0.0
2301.0,974.0,Yes,4841.0,,Graduate,Female,N,1.0
14468.0,4133.0,Yes,38116.0,Urban,Graduate,Male,Y,1.0
18990.0,5370.0,Yes,18776.0,Urban,Not Graduate,Male,Y,0.0
,3972.0,Yes,7060.0,Urban,Graduate,Female,Y,1.0
12492.0,9105.0,,5300.0,Rural,Graduate,Male,N,0.0
19364.0,8228.0,Yes,4338.0,Urban,Graduate,Male,N,0.0
4975.0,9903.0,Yes,6487.0,Urban,Graduate,Female,N,0.0
8102.0,3020.0,Yes,,Rural,Not Graduate,,Y,1.0
19568.0,8987.0,Yes,30529.0,Urban,Not Graduate,Female,N,1.0
3816.0,4036.0,No,31262.0,,,Female,N,1.0
2569.0,5068.0,Yes,12280.0,Urban,Graduate,Female,N,1.0
,5233.0,Yes,29804.0,Rural,Not Graduate,Male,Y,1.0
3895.0,9516.0,Yes,10915.0,Urban,Graduate,Male,N,0.0
5863.0,317.0,No,12158.0,Semiurban,Not Graduate,Male,Y,1.0
14913.0,2396.0,,9621.0,Urban,Graduate,Female,Y,0.0
9455.0,,Yes,11547.0,Rural,Graduate,Female,Y,1.0
6014.0,2745.0,Yes,24177.0,Urban,Graduate,,Y,1.0
13093.0,1591.0,No,3459.0,Rural,Not Graduate,Female,N,0.0
5009.0,6183.0,No,29768.0,Urban,Graduate,Male,N,1.0
18538.0,3930.0,Yes,39041.0,Urban,Graduate,,Y,1.0
12729.0,1312.0,No,39191.0,Semiurban,Graduate,Male,N,1.0
3409.0,9477.0,No,18434.0,Semiurban,Graduate,Male,N,1.0
14249.0,4311.0,No,39247.0,Urban,Graduate,Female,Y,1.0
,7314.0,No,16419.0,Semiurban,Graduate,Female,N,1.0
10096.0,2383.0,No,36017.0,Urban,Graduate,Male,N,1.0
9560.0,,Yes,36577.0,Semiurban,Graduate,Male,Y,1.0
14533.0,2139.0,No,3921.0,Rural,Graduate,,N,1.0
9343.0,1704.0,Yes,5676.0,Urban,Graduate,Female,Y,0.0
9206.0,6924.0,No,21425.0,Semiurban,Graduate,Female,N,0.0
7801.0,362.0,Yes,36185.0,,Graduate,Male,N,0.0
7986.0,9908.0,No,26474.0,Rural,Graduate,Female,Y,1.0
12647.0,4286.0,Yes,2469.0,Urban,Graduate,Female,Y,1.0
14323.0,2469.0,Yes,26409.0,Rural,Graduate,Male,N,0.0
6780.0,4795.0,No,24526.0,Urban,Graduate,Male,N,0.0
4368.0,6150.0,,24465.0,Rural,Graduate,Female,N,0.0
14039.0,556.0,Yes,31955.0,Rural,Not Graduate,,N,1.0
8655.0,,No,27785.0,Rural,Not Graduate,Female,N,0.0
10173.0,2808.0,Yes,22033.0,Urban,Graduate,Male,Y,1.0
6495.0,5150.0,No,7931.0,Urban,Graduate,Male,N,0.0
12893.0,7561.0,Yes,2091.0,Rural,Not Graduate,Male,N,0.0
15403.0,2719.0,Yes,26772.0,Urban,Not Graduate,Female,N,1.0
15121.0,6506.0,Yes,17363.0,Urban,Graduate,Male,Y,1.0
12966.0,3741.0,Yes,29490.0,Rural,Graduate,Female,N,0.0
2853.0,9766.0,Yes,,Urban,Graduate,Male,Y,1.0
,3998.0,Yes,11456.0,Rural,Graduate,Female,Y,1.0
19532.0,2403.0,,23320.0,Rural,Graduate,,N,0.0
11907.0,8780.0,Yes,14435.0,Rural,Graduate,Male,N,1.0
6777.0,9739.0,No,28025.0,Urban,Not Graduate,Female,Y,1.0
4491.0,,,21754.0,Urban,Graduate,Male,N,0.0
16599.0,1136.0,Yes,8207.0,Urban,Graduate,Male,Y,1.0
17979.0,7009.0,No,23203.0,Rural,Graduate,Male,Y,1.0
18388.0,4543.0,No,22545.0,Semiurban,Graduate,Male,N,1.0
2876.0,1007.0,Yes,25016.0,Urban,Graduate,Male,N,0.0
6142.0,5445.0,No,32098.0,Urban,Not Graduate,Male,N,0.0
17202.0,5352.0,Yes,9556.0,Semiurban,Graduate,Female,Y,1.0
,9439.0,No,21102.0,Urban,Graduate,Male,N,1.0
9079.0,1435.0,Yes,39893.0,Urban,Graduate,Female,N,0.0
9987.0,571.0,No,2924.0,Urban,Graduate,Male,Y,1.0
,2382.0,No,20479.0,Semiurban,Graduate,Male,Y,1.0
19019.0,5084.0,Yes,19660.0,Rural,Graduate,Female,Y,1.0
15417.0,277.0,No,10945.0,Rural,Graduate,Female,N,0.0
10311.0,7059.0,Yes,1306.0,Urban,Not Graduate,Female,N,1.0
19214.0,1887.0,,23959.0,Rural,Graduate,Male,N,0.0
16098.0,1265.0,Yes,5231.0,Urban,Graduate,Female,N,0.0
7177.0,7491.0,,39796.0,Semiurban,Graduate,Female,N,0.0
16262.0,1040.0,Yes,13207.0,Urban,Not Graduate,Male,N,0.0
10308.0,9109.0,Yes,7336.0,Urban,Graduate,Male,N,0.0
7949.0,8073.0,Yes,10630.0,,Graduate,Male,N,1.0
3150.0,9077.0,Yes,18256.0,Urban,Not Graduate,Female,N,1.0
3931.0,2752.0,Yes,34909.0,Rural,,Male,N,0.0
11204.0,8213.0,No,34719.0,Urban,Graduate,Female,N,0.0
3081.0,4569.0,No,31013.0,Urban,Graduate,Male,N,0.0
18896.0,6353.0,Yes,15455.0,Urban,,Male,Y,1.0
15407.0,2353.0,Yes,5722.0,Rural,Not Graduate,Male,N,0.0
9805.0,7437.0,Yes,13812.0,Urban,Not Graduate,Male,N,0.0
7237.0,4799.0,Yes,31276.0,Rural,Not Graduate,Male,N,0.0
18943.0,686.0,No,37776.0,,Not Graduate,Male,Y,1.0
14775.0,8476.0,No,11060.0,Urban,Graduate,Female,N,0.0
18244.0,4811.0,Yes,14056.0,Urban,Not Graduate,Male,N,0.0
5343.0,5346.0,Yes,23574.0,Rural,Graduate,Male,N,1.0
15500.0,5043.0,No,14027.0,Urban,Graduate,Male,Y,1.0
11662.0,2428.0,No,5030.0,Rural,Graduate,Male,Y,0.0
,5126.0,Yes,25243.0,Semiurban,Not Graduate,Male,Y,1.0
10130.0,9098.0,No,20739.0,Semiurban,Graduate,Male,Y,0.0
3679.0,7813.0,No,35168.0,Urban,Graduate,Female,N,1.0
5506.0,9645.0,Yes,37491.0,Semiurban,Not Graduate,Male,N,1.0
15284.0,3356.0,Yes,31013.0,Rural,Graduate,Male,N,1.0
9253.0,,Yes,7579.0,Urban,Graduate,Male,Y,1.0
11435.0,7266.0,Yes,19242.0,Urban,Graduate,Male,N,1.0
13310.0,6540.0,Yes,5781.0,Semiurban,Graduate,Female,Y,1.0
15296.0,38.0,Yes,21448.0,Rural,Graduate,Male,Y,1.0
15245.0,3342.0,Yes,,Rural,Graduate,Male,N,0.0
,9078.0,Yes,12043.0,Urban,Not Graduate,Female,N,0.0
12457.0,2844.0,No,20853.0,Urban,Graduate,,Y,1.0
4479.0,1098.0,Yes,21079.0,Urban,Graduate,Female,N,0.0
7881.0,1823.0,Yes,,Rural,Graduate,Male,N,0.0
16069.0,3155.0,Yes,29016.0,Semiurban,Graduate,Male,Y,1.0
4849.0,3093.0,No,19932.0,Rural,Graduate,Male,N,0.0
9390.0,5658.0,Yes,,Urban,Graduate,Male,N,0.0
13922.0,3778.0,Yes,8549.0,Rural,Not Graduate,Male,Y,1.0
4489.0,2896.0,No,14397.0,Semiurban,Graduate,Male,N,0.0
,4116.0,No,34717.0,Rural,Graduate,Male,Y,1.0
11540.0,6446.0,Yes,24016.0,Semiurban,Graduate,Female,N,0.0
18364.0,4179.0,Yes,15732.0,Rural,Graduate,Female,N,1.0
6611.0,1682.0,Yes,27911.0,Urban,Graduate,Female,N,0.0
7878.0,5626.0,Yes,18866.0,Urban,Not Graduate,Male,N,1.0
18347.0,7424.0,No,28621.0,Semiurban,,Male,N,0.0
2851.0,933.0,No,13823.0,,,Female,N,1.0
8833.0,3598.0,Yes,30986.0,Urban,Not Graduate,Female,N,1.0
13938.0,1980.0,Yes,15690.0,Urban,Graduate,Female,N,0.0
4427.0,3056.0,No,,,Not Graduate,,Y,1.0
6000.0,8984.0,No,22303.0,Semiurban,Graduate,Male,Y,1.0
7052.0,791.0,Yes,37533.0,Urban,Graduate,Male,N,0.0
4738.0,5390.0,Yes,30674.0,Rural,Graduate,Male,N,1.0
,6635.0,Yes,36595.0,Semiurban,Not Graduate,Female,N,1.0
10002.0,2255.0,No,3058.0,,Not Graduate,Male,N,0.0
7536.0,3610.0,Yes,12519.0,Urban,Graduate,,Y,1.0
,1607.0,Yes,32115.0,Semiurban,Graduate,Female,N,0.0
5913.0,5179.0,No,1730.0,Urban,Graduate,Female,Y,1.0
19450.0,6573.0,Yes,2832.0,Rural,Graduate,Male,Y,1.0
12636.0,984.0,Yes,23889.0,Rural,Graduate,Male,N,0.0
7726.0,5776.0,Yes,5179.0,Urban,Graduate,Female,Y,1.0
5373.0,3676.0,Yes,7299.0,Semiurban,Graduate,Male,N,0.0
14161.0,3380.0,Yes,8830.0,Urban,Graduate,Male,N,1.0
4082.0,8711.0,Yes,38570.0,Urban,Graduate,Male,N,0.0
18281.0,8782.0,Yes,23441.0,Urban,Not Graduate,Male,N,0.0
17305.0,1050.0,Yes,7615.0,Urban,Not Graduate,Male,N,0.0
11817.0,,No,7762.0,Semiurban,Graduate,Female,N,0.0
13261.0,6342.0,No,39311.0,Rural,,Female,N,0.0
